1.607,-1.212
4.284,-3.534
7.534,-6.591
5.047,-4.770
5.312,0.041
4.821,-3.852
4.579,-2.250
4.656,-0.728
3.297,-3.116
5.028,1.550
3.278,1.103

0.744,-3.651
1.520,-1.174
5.790,-1.052
5.673,-1.068
3.791,1.797
3.947,-0.195
5.589,0.926
6.277,2.209
3.458,0.578
4.464,-0.776
6.756,1.671

0.262,-3.557
2.190,-3.668
4.127,0.153
2.583,0.195
-0.983,-0.392
3.215,0.524
2.223,-1.645
6.107,1.177
2.767,0.650
2.429,-1.083
4.239,0.895

2.474,-6.067
0.392,-5.291
5.675,-1.800
0.315,-0.744
-0.531,-0.719
0.744,0.771
0.015,0.880
5.559,-2.786
1.859,-4.685
0.472,-0.516
2.574,-2.639

1.010,-6.350
5.688,-5.987
2.773,-3.146
-0.350,-2.804
1.135,-1.511
0.978,-0.305
1.344,-0.457
1.436,-1.529
2.738,-4.966
4.655,-1.160
3.602,-2.954

0.563,-2.522
3.508,-5.740
3.895,-3.355
3.097,-5.066
1.489,-4.455
2.221,-5.844
-2.129,-4.925
0.141,-4.928
1.225,-3.708
0.845,-5.334
4.954,-3.675

4.901,-0.834
3.183,-3.272
5.795,-2.467
0.366,-7.238
-1.213,-5.402
0.648,-7.531
0.140,-6.142
3.655,-3.923
2.043,-2.402
-0.639,-2.517
2.314,-0.502

-3.065,1.085
0.483,0.585
1.293,-1.721
-0.769,-4.007
-1.318,-6.250
1.174,-4.849
0.152,-5.328
3.784,-3.437
1.826,-3.539
0.608,-0.021
1.694,1.120

-0.496,1.252
2.085,-0.162
5.911,-2.370
-1.274,-1.764
-1.838,-6.304
-0.019,-6.167
1.962,-0.434
4.374,-2.461
1.828,-4.344
1.719,-1.350
1.536,1.188

0.731,0.213
0.895,-0.325
1.258,-0.755
2.790,-4.095
-0.868,-3.286
2.561,-1.459
3.821,-3.525
4.927,-4.113
1.870,-2.042
4.152,0.515
-0.725,-1.718

0.485,-4.243
3.163,-1.246
3.953,-5.705
2.578,-7.485
-0.114,-5.233
0.799,-6.691
1.464,-4.844
0.668,-3.668
1.980,-3.775
3.230,-1.695
0.468,-2.771

